"EventID";"Filename";"Index_In_File";"X";"Y"
"83377";"Snail3_EDTA_24_Nuc_processed";"6588";"5564.3105";"245.92676"
"131591";"Snail4_NoBact_6_Nuc_processed";"8810";"-1643.2395";"2068.325"
"141290";"Snail4_Phago_19_Nuc_processed";"8723";"-8220.917";"4754.1514"
"35344";"Snail1_Phago_16_Nuc_processed";"6381";"-2898.6243";"-4333.2993"
"158204";"Snail5_Ice_14_Nuc_processed";"5943";"-2717.2217";"-4692.208"
"120586";"Snail4_Ice_13_Nuc_processed";"7172";"-3667.2195";"2887.9036"
"33016";"Snail1_Phago_16_Nuc_processed";"4053";"741.02313";"-17038.62"
"45351";"Snail2_EDTA_23_Nuc_processed";"6642";"5232.305";"-7325.2666"
"145900";"Snail5_EDTA_26_Nuc_processed";"3366";"7372.0825";"-6420.3335"
"59198";"Snail2_NoBact_4_Nuc_processed";"1579";"-4750.481";"3614.8242"
"16443";"Snail1_Ice_10_Nuc_processed";"6843";"-3918.419";"-2958.9626"
"128194";"Snail4_NoBact_6_Nuc_processed";"5413";"3157.8506";"8556.365"
"70024";"Snail2_Phago_17_Nuc_processed";"2784";"481.0514";"-26123.973"
"90659";"Snail3_Ice_12_Nuc_processed";"4802";"6336.217";"-4934.067"
"128437";"Snail4_NoBact_6_Nuc_processed";"5656";"2112.4265";"-4146.1274"
"161182";"Snail5_Ice_14_Nuc_processed";"8921";"7841.063";"2048.4192"
"136686";"Snail4_Phago_19_Nuc_processed";"4119";"-1914.9663";"7866.509"
"89726";"Snail3_Ice_12_Nuc_processed";"3869";"5726.2676";"-3821.7532"
"67063";"Snail2_NoBact_4_Nuc_processed";"9444";"-49.519947";"-1890.9823"
"16695";"Snail1_Ice_10_Nuc_processed";"7095";"1651.9323";"-2514.1294"
"71866";"Snail2_Phago_17_Nuc_processed";"4626";"-4777.456";"-1847.8955"
"115414";"Snail4_Ice_13_Nuc_processed";"2000";"6849.478";"5515.5156"
"53089";"Snail2_Ice_11_Nuc_processed";"4700";"3600.2957";"-5263.9883"
"83481";"Snail3_EDTA_24_Nuc_processed";"6692";"-3966.0322";"-7407.151"
"35816";"Snail1_Phago_16_Nuc_processed";"6853";"296.78156";"-2765.5862"
"64377";"Snail2_NoBact_4_Nuc_processed";"6758";"-3074.6584";"6386.8037"
"56762";"Snail2_Ice_11_Nuc_processed";"8373";"-8669.851";"5912.6445"
