Cluster,Term,Count,:Area_Intensity_DHR,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11,:Circularity_AdaptiveErode_BF,:Circularity_Morphology_DNA,:Contrast_AdaptiveErode_BF_Ch01,:Contrast_AdaptiveErode_BF_Ch06,:Diameter_AdaptiveErode_BF,:H.Energy.Mean_AdaptiveErode_BF_Ch01_5,:H.Energy.Mean_Intensity_DHR_Ch07_5,:H.Energy.Mean_Morphology_DNA_Ch11_5,:H.Entropy.Mean_AdaptiveErode_BF_Ch01_5,:H.Entropy.Mean_Intensity_Bac_Ch07_5,:H.Entropy.Mean_Morphology_DNA_Ch11_5,:Intensity_AdaptiveErode_BF_Ch02,:Intensity_AdaptiveErode_BF_Ch06,:Intensity_AdaptiveErode_BF_Ch07,:Intensity_AdaptiveErode_BF_Ch11,:Lobe.Count_Morphology_DNA_Ch11,:Max.Pixel_Intensity_Bac_Ch07,:Max.Pixel_Intensity_SSC_Ch06,:Std.Dev_AdaptiveErode_BF_Ch01
27442,Snail2_Phago_17_Nuc_processed,320,2.32739676,2.6951787,1.506865577,1.253259646,2.827700671,1.270528389,1.674899043,4.535144,1.794079026,4.351467447,1.423113143,9.923151652,0,6.646591571,6.161905051,9.167866669,2.846016332,-0.208719625,1.019241248,0.931838137,0.45663208,2.26413928
27442,Snail2_NoBact_4_Nuc_processed,359,2.290453937,2.56850676,1.322731388,1.946663348,2.932972279,1.327692222,1.742316002,4.274690747,1.696603029,4.161423316,1.35915677,10.0004074,0,6.590309775,6.101800428,9.198701859,2.09831206,-0.429152822,1.019241248,0,0.510095982,2.235856063
27442,Snail1_NoBact_3_Nuc_processed,344,2.21656829,2.453388144,1.218376087,2.028664019,2.912497891,1.258734652,1.889817653,4.418659611,1.74110467,4.659193462,1.186450564,9.995356956,0,6.820834104,6.135630453,9.446383396,2.336774213,0.004761614,1.019241248,0,0.565463082,2.211955764
27443,Snail5_Ice_14_Nuc_processed,187,0,1.326958572,2.092036026,0.794325961,0.843097942,1.423361852,1.675194944,6.178430764,2.185026428,0,0.602700104,9.650754079,0,7.925083178,4.86126259,10.02822469,3.926013051,2.094543793,4.076964992,1.604531588,0.630896749,2.737812909
27443,Snail5_NoBact_7_Nuc_processed,44,0,1.565448136,2.155152153,0.884727981,0.923666461,1.656709886,1.701537111,6.113946522,2.233054337,0,0.620499412,9.499970222,0,8.015529513,5.35786289,9.986004584,3.445653677,2.10758896,4.076964992,1.37749647,0.584083638,3.184175589
27443,Snail3_Ice_12_Nuc_processed,120,0,1.75566205,3.164352183,0.87358045,0.80883141,1.649911477,1.880205114,6.410409077,2.021483595,0,0.54717779,10.04493004,0,8.22288667,4.806994256,10.42025818,3.902864881,2.32762886,4.076964992,1.702647645,0.767693174,2.970372266
27443,Snail4_Ice_13_Nuc_processed,188,0,1.391326071,2.191922773,0.812085575,0.761395452,1.27414664,1.826118221,6.225517939,2.197367117,0,0.50996695,9.845617053,0,8.048860077,4.914064074,10.13730941,4.092457358,1.368730953,4.076964992,1.702166731,0.65286332,2.410031527
27443,Snail1_Ice_10_Nuc_processed,179,0,1.382248618,2.528447268,0.747618142,0.826929262,1.472036813,1.612753421,6.265596791,2.164250969,0,0.563189854,9.850251155,0,7.980338075,5.099199969,10.15666942,4.164192032,2.658745974,4.076964992,1.898570174,0.619958921,2.844802737
27443,Snail3_EDTA_24_Nuc_processed,68,0,1.450742131,2.858269022,0.75510297,1.024324525,1.169373893,1.22868656,6.53289165,2.254797897,0,0.624530652,9.747813113,0,7.685563157,4.487595991,9.659011172,4.1540913,1.439597478,4.076964992,1.40843643,0.483592212,2.765071033
27443,Snail4_NoBact_6_Nuc_processed,64,0,1.533264437,2.840767532,0.802046989,0.758876321,1.404176098,1.930550905,5.993344432,2.45341234,0,0.652766109,9.358680603,0,7.867718297,5.102537671,10.09914885,3.446907465,2.729410302,4.076964992,1.414304654,0.654433384,3.204799274
27443,Snail2_Ice_11_Nuc_processed,134,0,1.506857299,2.470265333,0.934936076,0.79942877,1.507838428,1.857492213,6.416914143,2.195038358,0,0.59246415,9.771212765,0,8.184571888,5.299328674,10.3259116,4.195708486,2.502208891,4.076964992,1.635227575,0.724120837,2.699613186
27443,Snail5_Phago_20_Nuc_processed,161,0,1.662411644,2.301118811,0.844013204,0.785449654,1.456269573,1.579694924,6.093441376,2.092300406,0,0.631919824,9.869864141,0,7.984864013,5.403641649,9.887910071,4.197155965,1.728697243,4.076964992,1.790763182,0.562216194,2.743044401
27443,Snail4_Phago_19_Nuc_processed,115,0,1.73668192,1.727677657,0.863568665,0.800045223,1.329024044,1.700218475,5.979405966,2.184730758,0,0.729828433,9.732962394,0,7.917011492,5.490296598,9.878414881,3.950099853,1.329904372,4.076964992,1.842590504,0.619909201,2.866859822
27443,Snail5_EDTA_26_Nuc_processed,208,0,1.579476928,3.477697177,0.726055717,0.878613565,1.453449236,1.173508756,6.407154473,1.98693321,0,0.629455461,9.874292403,0,7.942723913,4.712742541,9.725227494,3.930708015,2.183570415,4.076964992,1.477452084,0.476843052,3.145107178
27443,Snail2_EDTA_23_Nuc_processed,195,0,1.756899885,2.839557712,0.602811978,0.891233234,1.475955627,1.201966926,6.712426101,1.983346844,0,0.623400665,10.00505781,0,7.941330796,4.6064526,9.795663104,3.697463688,2.18658839,4.076964992,1.533231524,0.506564521,3.319488299
27443,Snail1_EDTA_22_Nuc_processed,228,0,1.650033499,3.232774139,0.603400404,0.967833246,1.350758317,1.180507691,6.712426101,2.08443155,0,0.598019192,9.888408316,0,8.002025483,4.801988982,9.707015784,4.244434419,2.634715342,4.076964992,1.63226007,0.493826149,3.088080364
27443,Snail1_Phago_16_Nuc_processed,207,0,1.562147244,2.135416659,0.760370147,0.82021256,1.228058451,1.442622039,5.972425083,2.28730614,0,0.642063127,9.631764825,0,8.024423666,5.345234855,9.760632982,4.331412545,1.741645177,4.076964992,1.711669934,0.508478921,2.529689238
27443,Snail3_NoBact_5_Nuc_processed,63,0,1.728429689,3.134656487,0.917143175,0.88059462,1.832391577,2.215804183,5.895086035,2.31771407,0,0.661032209,9.771362678,0,8.047379636,5.030237992,10.57996218,3.564882058,2.401450335,4.076964992,1.360691412,0.994762978,3.354728354
27443,Snail4_EDTA_25_Nuc_processed,342,0,1.757725108,2.567266255,0.620743318,0.958311636,1.39062468,0.958238987,6.908450512,2.179230148,0,0.590950766,9.844489209,0.42408966,7.971355922,4.834609986,9.586630677,3.934536936,1.420378713,4.076964992,1.484358688,0.410071898,3.208732715
